# TEST CONFIGURATION BEGIN
# FileStream(filename='df_train.csv', target_idx=-1, n_targets=1, cat_features=None)
# [arf_PageHinkley] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=PageHinkley(alpha=0.9999, delta=0.005, min_instances=30, threshold=50), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=PageHinkley(alpha=0.9999, delta=0.005, min_instances=30, threshold=50))
# [arf_ADWIN] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.002), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.002))
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=359935, max_time=inf, metrics=['accuracy', 'f1'], n_wait=200, output_file='results_train.csv', pretrain_size=1000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[arf_PageHinkley],current_acc_[arf_PageHinkley],mean_acc_[arf_ADWIN],current_acc_[arf_ADWIN],mean_f1_[arf_PageHinkley],current_f1_[arf_PageHinkley],mean_f1_[arf_ADWIN],current_f1_[arf_ADWIN]
35399,0.997849,1.000000,0.997762,1.000000,0.998764,1.000000,0.998714,1.000000
35599,0.997861,1.000000,0.997775,1.000000,0.998772,1.000000,0.998722,1.000000
35799,0.997874,1.000000,0.997787,1.000000,0.998780,1.000000,0.998731,1.000000
35999,0.997886,1.000000,0.997800,1.000000,0.998788,1.000000,0.998739,1.000000
36199,0.997898,1.000000,0.997812,1.000000,0.998796,1.000000,0.998747,1.000000
36399,0.997910,1.000000,0.997825,1.000000,0.998804,1.000000,0.998756,1.000000
36599,0.997921,1.000000,0.997837,1.000000,0.998812,1.000000,0.998764,1.000000
36799,0.997933,1.000000,0.997849,1.000000,0.998819,1.000000,0.998771,1.000000
36999,0.997944,1.000000,0.997861,1.000000,0.998827,1.000000,0.998779,1.000000
37199,0.997956,1.000000,0.997873,1.000000,0.998834,1.000000,0.998787,1.000000
37399,0.997967,1.000000,0.997885,1.000000,0.998842,1.000000,0.998794,1.000000
37599,0.997978,1.000000,0.997896,1.000000,0.998849,1.000000,0.998802,1.000000
37799,0.997989,1.000000,0.997908,1.000000,0.998856,1.000000,0.998809,1.000000
37999,0.998000,1.000000,0.997919,1.000000,0.998863,1.000000,0.998817,1.000000
38199,0.998011,1.000000,0.997930,1.000000,0.998870,1.000000,0.998824,1.000000
38399,0.998021,1.000000,0.997941,1.000000,0.998877,1.000000,0.998831,1.000000
38599,0.998032,1.000000,0.997952,1.000000,0.998883,1.000000,0.998838,1.000000
38799,0.998042,1.000000,0.997963,1.000000,0.998890,1.000000,0.998845,1.000000
38999,0.998053,1.000000,0.997974,1.000000,0.998897,1.000000,0.998852,1.000000
39199,0.998063,1.000000,0.997984,1.000000,0.998903,1.000000,0.998859,1.000000
39399,0.998073,1.000000,0.997995,1.000000,0.998910,1.000000,0.998866,1.000000
39599,0.998083,1.000000,0.998005,1.000000,0.998916,1.000000,0.998872,1.000000
39799,0.998093,1.000000,0.998015,1.000000,0.998922,1.000000,0.998879,1.000000
39999,0.998103,1.000000,0.998026,1.000000,0.998929,1.000000,0.998885,1.000000
40199,0.998112,1.000000,0.998036,1.000000,0.998935,1.000000,0.998892,1.000000
40399,0.998122,1.000000,0.998046,1.000000,0.998941,1.000000,0.998898,1.000000
40599,0.998131,1.000000,0.998056,1.000000,0.998947,1.000000,0.998904,1.000000
40799,0.998141,1.000000,0.998065,1.000000,0.998953,1.000000,0.998910,1.000000
40999,0.998150,1.000000,0.998075,1.000000,0.998959,1.000000,0.998917,1.000000
41199,0.998159,1.000000,0.998085,1.000000,0.998965,1.000000,0.998923,1.000000
41399,0.998168,1.000000,0.998094,1.000000,0.998970,1.000000,0.998929,1.000000
41599,0.998177,1.000000,0.998103,1.000000,0.998976,1.000000,0.998935,1.000000
41799,0.998186,1.000000,0.998113,1.000000,0.998982,1.000000,0.998940,1.000000
41999,0.998195,1.000000,0.998122,1.000000,0.998987,1.000000,0.998946,1.000000
42199,0.998204,1.000000,0.998131,1.000000,0.998993,1.000000,0.998952,1.000000
42399,0.998213,1.000000,0.998140,1.000000,0.998998,1.000000,0.998958,1.000000
42599,0.998221,1.000000,0.998149,1.000000,0.999004,1.000000,0.998963,1.000000
42799,0.998230,1.000000,0.998158,1.000000,0.999009,1.000000,0.998969,1.000000
42999,0.998238,1.000000,0.998167,1.000000,0.999014,1.000000,0.998974,1.000000
43199,0.998246,1.000000,0.998175,1.000000,0.999020,1.000000,0.998980,1.000000
43399,0.998255,1.000000,0.998184,1.000000,0.999025,1.000000,0.998985,1.000000
43599,0.998263,1.000000,0.998192,1.000000,0.999030,1.000000,0.998990,1.000000
43799,0.998271,1.000000,0.998201,1.000000,0.999035,1.000000,0.998996,1.000000
